"科目番号","科目名","授業方法","単位数","標準履修年次","実施学期","曜時限","教室","担当教員","授業概要","備考","科目等履修生申請可否","申請条件","短期留学生申請可否","申請条件","英語(日本語)科目名","科目コード","要件科目名","データ更新日"  
"6117101","情報リテラシー(講義)","1"," 1.0","1","春B","金1,2","3A301","冨安 洋史","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","医学A班対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-22 11:34:00"
"6117201","情報リテラシー(講義)","1"," 1.0","1","春B","金1,2","3A304","長谷川 秀彦","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","医学B班対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-22 11:34:45"
"6118101","情報リテラシー(講義)","1"," 1.0","1","春A","金1,2","5C216","高橋 大介","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","看護，医療対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:55"
"6120101","情報リテラシー(講義)","1"," 1.0","1","春A","木1,2","5C213","面 和成","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","体育A班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:55:08"
"6120201","情報リテラシー(講義)","1"," 1.0","1","春A","木1,2","5C317","町田 文雄","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","体育B班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-22 11:36:40"
"6120301","情報リテラシー(講義)","1"," 1.0","1","春A","月3,4","5C213","佐野 良夫","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","体育C班対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-21 14:57:03"
"6120401","情報リテラシー(講義)","1"," 1.0","1","春A","月3,4","5C317","二村 保徳","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","体育D班対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-21 14:58:00"
"6121101","情報リテラシー(講義)","1"," 1.0","1","春B","金1,2","5C216","高橋 伸","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","芸術対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:55"
"6123101","情報リテラシー(講義)","1"," 1.0","1","春B","木1,2","3A403","張 勇兵","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","社工対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:55"
"6124101","情報リテラシー(講義)","1"," 1.0","1","春A","月5,6","3A202","保國 惠一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","情報, 総学第3類C班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-08-22 11:38:14"
"6125101","情報リテラシー(講義)","1"," 1.0","1","春B","水1,2","1D204","片岸 一起","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","創成，物理対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:56"
"6126101","情報リテラシー(講義)","1"," 1.0","1","春B","月3,4","1D201","武田 将季","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","知識, 教育対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-04-05 09:41:06"
"6127101","情報リテラシー(講義)","1"," 1.0","1","春A","月3,4","3A306","髙橋 大成","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第3類B班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 13:54:03"
"6127201","情報リテラシー(講義)","1"," 1.0","1","春A","火3,4","1C210","内田 匠","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第1類A班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:55:08"
"6127301","情報リテラシー(講義)","1"," 1.0","1","春A","木1,2","1C210","朴 哲彦","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第1類B班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:53"
"6127401","情報リテラシー(講義)","1"," 1.0","1","春B","火3,4","3A306","宇津呂 武仁","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第2類A班対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:56"
"6127501","情報リテラシー(講義)","1"," 1.0","1","春B","木1,2","3A306","兒玉 隆一郎","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第2類B班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-26 18:38:53"
"6127601","情報リテラシー(講義)","1"," 1.0","1","春B","水1,2","3A403","朴 哲彦","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第2類CD班対象 実務経験教員. オンライン(対面併用型) 詳細はmanabaで確認すること．","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:53"
"6127701","情報リテラシー(講義)","1"," 1.0","1","春A","金1,2","3A405","滝沢 穂高","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で，計算基礎，コンピュータの原理と構成，ソフトウェアの原理，インターネットの仕組みなどについて学ぶ. 併せて, インターネットを安全かつ有意義に活用するために必要な情報倫理, 情報セキュリティ, 知的財産権に関する知識を学ぶ.","総学第3類A班対象 オンライン(対面併用型) 詳細はmanabaで確認すること．","△","授業担当教員の判断による","×","","Information Literacy(Lectures)","6101101","情報処理(講義)","2024-03-19 11:54:53"
"6128011","情報リテラシー（講義）","1"," 1.0","1","秋A","火1-3","","手塚 太郎，望山 洋，善甫 啓一，山田 洋一","情報の基本概念と社会におけるコンピュータとインターネットの位置づけを理解した上で、コンピュータの原理と構成、ソフトウェアの原理、インターネットの仕組みなどについて学ぶ。コンピュータの歴史から始まり、Webやメールの仕組みを知ることで、現代社会におけるITの役割や、筑波大学における情報環境と注意を学ぶ。併せて、インターネットを安全かつ有意義に活用するために必要な情報倫理、情報セキュリティ、知的財産権に関する知識を学ぶ。","英語で授業。 対面. マレーシア校開講科目","×","正規生に限る","×","","Information Literacy (Lectures)","6128011","情報リテラシー（講義）","2024-09-05 08:32:43"
