"科目番号","科目名","授業方法","単位数","標準履修年次","実施学期","曜時限","教室","担当教員","授業概要","備考","科目等履修生申請可否","申請条件","短期留学生申請可否","申請条件","英語(日本語)科目名","科目コード","要件科目名","データ更新日"  
"6417102","情報リテラシー(演習)","2"," 1.0","1","春A","金1,2","学術情報メディアセンターA203","建部 修見","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","医学1班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:52"
"6417202","情報リテラシー(演習)","2"," 1.0","1","春A","金1,2","学術情報メディアセンターB205","萬 礼応","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","医学2班対象 実務経験教員. 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6417302","情報リテラシー(演習)","2"," 1.0","1","春A","金1,2","学術情報メディアセンターB206","長谷川 秀彦","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","医学3班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:52"
"6418102","情報リテラシー(演習)","2"," 1.0","1","春B","金1,2","学術情報メディアセンターB206","大谷 成子","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","看護2班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:54"
"6419102","情報リテラシー(演習)","2"," 1.0","1","春B","金1,2","学術情報メディアセンターB205","池田 靖雄","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","医療, 看護1班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:54"
"6420102","情報リテラシー(演習)","2"," 1.0","1","春B","木1,2","学術情報メディアセンターA203","阿部 洋丈","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","体育1班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:07"
"6420202","情報リテラシー(演習)","2"," 1.0","1","春B","木1,2","学術情報メディアセンターB205","白石 優旗","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","体育2班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:06"
"6420302","情報リテラシー(演習)","2"," 1.0","1","春B","木1,2","学術情報メディアセンターB206","青木 一浩","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","体育3班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:53"
"6420402","情報リテラシー(演習)","2"," 1.0","1","春B","月3,4","学術情報メディアセンターA203","佐野 良夫","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","体育4班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:06"
"6420502","情報リテラシー(演習)","2"," 1.0","1","春B","月3,4","学術情報メディアセンターB205","西田 典起","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","体育5班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 17:32:08"
"6420602","情報リテラシー(演習)","2"," 1.0","1","春B","月3,4","学術情報メディアセンターB206","芳賀 開一","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","体育6班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:58"
"6421102","情報リテラシー(演習)","2"," 1.0","1","春A","金1,2","2D202,2D203","福永 克己","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","芸術1班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:54"
"6421202","情報リテラシー(演習)","2"," 1.0","1","春A","金1,2","1D301","大谷 成子","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","芸術2班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:53"
"6422102","情報リテラシー(演習)","2"," 1.0","1","通年","応談","","共通科目「情報」担当教員","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","スクリーンリーダ等を用いた実習を行う.履修制限あり. 本科目は事前に許可された学生のみ履修可能．履修を希望する場合は必ず支援室に申し出ること． 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:03"
"6423102","情報リテラシー(演習)","2"," 1.0","1","春A","木1,2","学術情報メディアセンターB205","大久保 正勝","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","社工1班対象 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:54"
"6423202","情報リテラシー(演習)","2"," 1.0","1","春A","木1,2","学術情報メディアセンターB206","繁野 麻衣子","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","社工2班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:55"
"6424102","情報リテラシー(演習)","2"," 1.0","1","春B","月5,6","3C113","堀江 和正","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","情報対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:02"
"6425102","情報リテラシー(演習)","2"," 1.0","1","春A","水1,2","1C206","井上 智雄","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","創成対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:53"
"6426102","情報リテラシー(演習)","2"," 1.0","1","春A","月3,4","1D301","鈴木 伸崇","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","知識対象 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:02"
"6427102","情報リテラシー(演習)","2"," 1.0","1","春B","木1,2","2D202,2D203","金澤 健治","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第1類B班対象 実務経験教員. 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-22 08:42:46"
"6427202","情報リテラシー(演習)","2"," 1.0","1","春A","月5,6","1D301","金澤 健治","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第1類C班対象 実務経験教員. 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-22 08:42:46"
"6427302","情報リテラシー(演習)","2"," 1.0","1","春A","木1,2","学術情報メディアセンターA203","谷口 綾子","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第2類B班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:06"
"6427402","情報リテラシー(演習)","2"," 1.0","1","春B","月3,4","1D301","飯塚 里志","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第3類B班対象 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:56"
"6427502","情報リテラシー(演習)","2"," 1.0","1","春B","火3,4","学術情報メディアセンターA203","髙橋 大成","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第1類A班対象 実務経験教員. 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:59"
"6427602","情報リテラシー(演習)","2"," 1.0","1","春B","金1,2","学術情報メディアセンターA203","萬 礼応","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第3類A班対象 実務経験教員. 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:02"
"6427702","情報リテラシー(演習)","2"," 1.0","1","春A","火3,4","学術情報メディアセンターA203","原 淳之","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第2類A班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:57"
"6427802","情報リテラシー(演習)","2"," 1.0","1","春A","水1,2","学術情報メディアセンターA203","乾 孝司","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第2類C班対象 実務経験教員. 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:00"
"6427902","情報リテラシー(演習)","2"," 1.0","1","春A","水1,2","学術情報メディアセンターB205","萬 礼応","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第2類D班対象 実務経験教員. 対面","△","授業担当教員の判断による","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:54:55"
"6427912","情報リテラシー(演習)","2"," 1.0","1","春B","月5,6","1D301","水野 一徳","コンピュータを利用した基礎的な情報利用技術を身につける.文書の作成,インターネットにおける情報表現と情報発信,プレゼンテーション作成を通じた情報表現と情報発信の手法を実践的に修得する.","総学第3類C班対象 対面","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Information Literacy (Exercises)","6401102","情報リテラシー(演習)","2024-03-19 11:55:06"
"6428012","情報リテラシー（演習）","2"," 1.0","1","秋B","火1-3","","手塚 太郎，望山 洋，善甫 啓一，山田 洋一","コンピュータを利用した基礎的な情報利用技術を身につける。メールの送り方、文書作成ソフトウェアを用いた文書の作成、図や表の作り方など基本的なレポートの作成方法、プレゼンテーション作成ソフトウェアを用いたプレゼンテーション作成を通じた情報表現の手法や、情報の受け手を意識した情報発信の手法を実践的に修得する。インターネットにおける情報倫理や情報セキュリティに配慮した情報収集、意見交換、情報発信などの問題点を学ぶ。","英語で授業。 対面. マレーシア校開講科目","×","正規生に限る","×","","Information Literacy (Exercises)","6428012","情報リテラシー（演習）","2024-09-05 08:32:43"
"FH60214","情報リテラシー・演習","4"," 2.0","1","春AB","木1,2","","","計算機の基礎理論の入門的講義、および、計算機の基本的な使い方に関する演習を行う。","必修科目(2018年度以前入学者)。 2018年度以前入学者は、共通(情報)の「情報リテラシー(講義)」「情報リテラシー(演習)」を併せて履修することで本科目の履修に代えることができる。","×","各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため","×","","Introduction to Computers","FH60214","情報リテラシー・演習","2024-03-29 12:58:56"
